 time            v(16)           v(1)           
 0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-10  1.63723169e-14  1.57079632e-04 
 2.00000000e-10  4.95055254e-14  3.14159260e-04 
 4.00000000e-10  8.71698142e-14  6.28318489e-04 
 8.00000000e-10  6.98337923e-14  1.25663673e-03 
 1.60000000e-09  8.36033393e-15  2.51327148e-03 
 3.20000000e-09  8.51841481e-14  5.02652708e-03 
 6.40000000e-09  3.60041687e-12  1.00529272e-02 
 1.28000000e-08  1.55119211e-10  2.01048383e-02 
 2.28000000e-08  2.95820065e-09  3.58065005e-02 
 3.28000000e-08  1.65588939e-08  5.14993281e-02 
 4.28000000e-08  5.96381359e-08  6.71794489e-02 
 5.28000000e-08  1.66215495e-07  8.28429942e-02 
 6.28000000e-08  3.90191414e-07  9.84860992e-02 
 7.28000000e-08  8.09524441e-07  1.14104904e-01 
 8.28000000e-08  1.53005182e-06  1.29695556e-01 
 9.28000000e-08  2.68896607e-06  1.45254207e-01 
 1.02800000e-07  4.45795901e-06  1.60777018e-01 
 1.12800000e-07  7.04604573e-06  1.76260160e-01 
 1.22800000e-07  1.07020796e-05  1.91699813e-01 
 1.32800000e-07  1.57169706e-05  2.07092167e-01 
 1.42800000e-07  2.24256173e-05  2.22433424e-01 
 1.52800000e-07  3.12085652e-05  2.37719798e-01 
 1.62800000e-07  4.24934008e-05  2.52947519e-01 
 1.72800000e-07  5.67558941e-05  2.68112829e-01 
 1.82800000e-07  7.45208982e-05  2.83211986e-01 
 1.92800000e-07  9.63630180e-05  2.98241265e-01 
 2.02800000e-07  1.22907058e-04  3.13196957e-01 
 2.12800000e-07  1.54828259e-04  3.28075373e-01 
 2.22800000e-07  1.92852334e-04  3.42872840e-01 
 2.32800000e-07  2.37755312e-04  3.57585709e-01 
 2.42800000e-07  2.90363199e-04  3.72210349e-01 
 2.52800000e-07  3.51551470e-04  3.86743152e-01 
 2.62800000e-07  4.22244398e-04  4.01180532e-01 
 2.72800000e-07  5.03414220e-04  4.15518926e-01 
 2.82800000e-07  5.96080168e-04  4.29754798e-01 
 2.92800000e-07  7.01307358e-04  4.43884634e-01 
 3.02800000e-07  8.20205549e-04  4.57904947e-01 
 3.12800000e-07  9.53927783e-04  4.71812280e-01 
 3.22800000e-07  1.10366891e-03  4.85603200e-01 
 3.32800000e-07  1.27066402e-03  4.99274305e-01 
 3.42800000e-07  1.45618676e-03  5.12822221e-01 
 3.52800000e-07  1.66154754e-03  5.26243606e-01 
 3.62800000e-07  1.88809176e-03  5.39535149e-01 
 3.72800000e-07  2.13719778e-03  5.52693569e-01 
 3.82800000e-07  2.41027502e-03  5.65715620e-01 
 3.92800000e-07  2.70876184e-03  5.78598089e-01 
 4.02800000e-07  3.03412346e-03  5.91337798e-01 
 4.12800000e-07  3.38784977e-03  6.03931603e-01 
 4.22800000e-07  3.77145314e-03  6.16376398e-01 
 4.32800000e-07  4.18646614e-03  6.28669110e-01 
 4.42800000e-07  4.63443929e-03  6.40806708e-01 
 4.52800000e-07  5.11693874e-03  6.52786196e-01 
 4.62800000e-07  5.63554393e-03  6.64604619e-01 
 4.72800000e-07  6.19184524e-03  6.76259061e-01 
 4.82800000e-07  6.78744161e-03  6.87746646e-01 
 4.92800000e-07  7.42393819e-03  6.99064540e-01 
 5.02800000e-07  8.10294398e-03  7.10209950e-01 
 5.12800000e-07  8.82606938e-03  7.21180126e-01 
 5.22800000e-07  9.59492390e-03  7.31972362e-01 
 5.32800000e-07  1.04111137e-02  7.42583995e-01 
 5.42800000e-07  1.12762395e-02  7.53012407e-01 
 5.52800000e-07  1.21918937e-02  7.63255023e-01 
 5.62800000e-07  1.31596586e-02  7.73309318e-01 
 5.72800000e-07  1.41811040e-02  7.83172811e-01 
 5.82800000e-07  1.52577847e-02  7.92843067e-01 
 5.92800000e-07  1.63912384e-02  8.02317701e-01 
 6.02800000e-07  1.75829835e-02  8.11594376e-01 
 6.12800000e-07  1.88345169e-02  8.20670801e-01 
 6.22800000e-07  2.01473120e-02  8.29544738e-01 
 6.32800000e-07  2.15228163e-02  8.38213998e-01 
 6.42800000e-07  2.29624496e-02  8.46676441e-01 
 6.52800000e-07  2.44676018e-02  8.54929979e-01 
 6.62800000e-07  2.60396313e-02  8.62972576e-01 
 6.72800000e-07  2.76798625e-02  8.70802247e-01 
 6.82800000e-07  2.93895844e-02  8.78417061e-01 
 6.92800000e-07  3.11700485e-02  8.85815138e-01 
 7.02800000e-07  3.30224674e-02  8.92994654e-01 
 7.12800000e-07  3.49480125e-02  8.99953837e-01 
 7.22800000e-07  3.69478128e-02  9.06690970e-01 
 7.32800000e-07  3.90229532e-02  9.13204390e-01 
 7.42800000e-07  4.11744729e-02  9.19492491e-01 
 7.52800000e-07  4.34033640e-02  9.25553721e-01 
 7.62800000e-07  4.57105698e-02  9.31386584e-01 
 7.72800000e-07  4.80969837e-02  9.36989642e-01 
 7.82800000e-07  5.05634479e-02  9.42361511e-01 
 7.92800000e-07  5.31107520e-02  9.47500867e-01 
 8.02800000e-07  5.57396318e-02  9.52406441e-01 
 8.12800000e-07  5.84507684e-02  9.57077023e-01 
 8.22800000e-07  6.12447869e-02  9.61511461e-01 
 8.32800000e-07  6.41222553e-02  9.65708660e-01 
 8.42800000e-07  6.70836841e-02  9.69667585e-01 
 8.52800000e-07  7.01295248e-02  9.73387258e-01 
 8.62800000e-07  7.32601695e-02  9.76866764e-01 
 8.72800000e-07  7.64759497e-02  9.80105242e-01 
 8.82800000e-07  7.97771364e-02  9.83101893e-01 
 8.92800000e-07  8.31639385e-02  9.85855979e-01 
 9.02800000e-07  8.66365031e-02  9.88366820e-01 
 9.12800000e-07  9.01949142e-02  9.90633796e-01 
 9.22800000e-07  9.38391930e-02  9.92656348e-01 
 9.32800000e-07  9.75692971e-02  9.94433977e-01 
 9.42800000e-07  1.01385120e-01  9.95966244e-01 
 9.52800000e-07  1.05286492e-01  9.97252771e-01 
 9.62800000e-07  1.09273178e-01  9.98293242e-01 
 9.72800000e-07  1.13344878e-01  9.99087398e-01 
 9.82800000e-07  1.17501230e-01  9.99635044e-01 
 9.92800000e-07  1.21741805e-01  9.99936046e-01 
 1.00280000e-06  1.26066110e-01  9.99990328e-01 
 1.01280000e-06  1.30473588e-01  9.99797877e-01 
 1.02280000e-06  1.34963617e-01  9.99358742e-01 
 1.03280000e-06  1.39535512e-01  9.98673029e-01 
 1.04280000e-06  1.44188524e-01  9.97740909e-01 
 1.05280000e-06  1.48921838e-01  9.96562611e-01 
 1.06280000e-06  1.53734579e-01  9.95138427e-01 
 1.07280000e-06  1.58625807e-01  9.93468707e-01 
 1.08280000e-06  1.63594520e-01  9.91553863e-01 
 1.09280000e-06  1.68639656e-01  9.89394368e-01 
 1.10280000e-06  1.73760088e-01  9.86990755e-01 
 1.11280000e-06  1.78954632e-01  9.84343617e-01 
 1.12280000e-06  1.84222040e-01  9.81453606e-01 
 1.13280000e-06  1.89561008e-01  9.78321437e-01 
 1.14280000e-06  1.94970171e-01  9.74947882e-01 
 1.15280000e-06  2.00448108e-01  9.71333772e-01 
 1.16280000e-06  2.05993337e-01  9.67480001e-01 
 1.17280000e-06  2.11604324e-01  9.63387519e-01 
 1.18280000e-06  2.17279477e-01  9.59057335e-01 
 1.19280000e-06  2.23017149e-01  9.54490517e-01 
 1.20280000e-06  2.28815642e-01  9.49688194e-01 
 1.21280000e-06  2.34673202e-01  9.44651549e-01 
 1.22280000e-06  2.40588025e-01  9.39381826e-01 
 1.23280000e-06  2.46558256e-01  9.33880324e-01 
 1.24280000e-06  2.52581991e-01  9.28148402e-01 
 1.25280000e-06  2.58657276e-01  9.22187472e-01 
 1.26280000e-06  2.64782112e-01  9.15999007e-01 
 1.27280000e-06  2.70954453e-01  9.09584533e-01 
 1.28280000e-06  2.77172205e-01  9.02945632e-01 
 1.29280000e-06  2.83433235e-01  8.96083943e-01 
 1.30280000e-06  2.89735364e-01  8.89001158e-01 
 1.31280000e-06  2.96076373e-01  8.81699026e-01 
 1.32280000e-06  3.02454003e-01  8.74179348e-01 
 1.33280000e-06  3.08865955e-01  8.66443979e-01 
 1.34280000e-06  3.15309895e-01  8.58494828e-01 
 1.35280000e-06  3.21783450e-01  8.50333856e-01 
 1.36280000e-06  3.28284215e-01  8.41963077e-01 
 1.37280000e-06  3.34809749e-01  8.33384557e-01 
 1.38280000e-06  3.41357581e-01  8.24600411e-01 
 1.39280000e-06  3.47925208e-01  8.15612807e-01 
 1.40280000e-06  3.54510098e-01  8.06423963e-01 
 1.41280000e-06  3.61109692e-01  7.97036146e-01 
 1.42280000e-06  3.67721404e-01  7.87451673e-01 
 1.43280000e-06  3.74342623e-01  7.77672907e-01 
 1.44280000e-06  3.80970714e-01  7.67702262e-01 
 1.45280000e-06  3.87603021e-01  7.57542198e-01 
 1.46280000e-06  3.94236867e-01  7.47195222e-01 
 1.47280000e-06  4.00869554e-01  7.36663887e-01 
 1.48280000e-06  4.07498369e-01  7.25950791e-01 
 1.49280000e-06  4.14120582e-01  7.15058577e-01 
 1.50280000e-06  4.20733446e-01  7.03989934e-01 
 1.51280000e-06  4.27334203e-01  6.92747591e-01 
 1.52280000e-06  4.33920082e-01  6.81334324e-01 
 1.53280000e-06  4.40488303e-01  6.69752947e-01 
 1.54280000e-06  4.47036075e-01  6.58006319e-01 
 1.55280000e-06  4.53560601e-01  6.46097337e-01 
 1.56280000e-06  4.60059077e-01  6.34028941e-01 
 1.57280000e-06  4.66528694e-01  6.21804108e-01 
 1.58280000e-06  4.72966641e-01  6.09425853e-01 
 1.59280000e-06  4.79370106e-01  5.96897232e-01 
 1.60280000e-06  4.85736274e-01  5.84221336e-01 
 1.61280000e-06  4.92062332e-01  5.71401292e-01 
 1.62280000e-06  4.98345472e-01  5.58440263e-01 
 1.63280000e-06  5.04582887e-01  5.45341447e-01 
 1.64280000e-06  5.10771776e-01  5.32108076e-01 
 1.65280000e-06  5.16909346e-01  5.18743416e-01 
 1.66280000e-06  5.22992810e-01  5.05250763e-01 
 1.67280000e-06  5.29019393e-01  4.91633448e-01 
 1.68280000e-06  5.34986327e-01  4.77894829e-01 
 1.69280000e-06  5.40890861e-01  4.64038297e-01 
 1.70280000e-06  5.46730254e-01  4.50067270e-01 
 1.71280000e-06  5.52501781e-01  4.35985196e-01 
 1.72280000e-06  5.58202732e-01  4.21795549e-01 
 1.73280000e-06  5.63830415e-01  4.07501830e-01 
 1.74280000e-06  5.69382158e-01  3.93107567e-01 
 1.75280000e-06  5.74855307e-01  3.78616310e-01 
 1.76280000e-06  5.80247230e-01  3.64031635e-01 
 1.77280000e-06  5.85555316e-01  3.49357140e-01 
 1.78280000e-06  5.90776979e-01  3.34596447e-01 
 1.79280000e-06  5.95909658e-01  3.19753198e-01 
 1.80280000e-06  6.00950816e-01  3.04831054e-01 
 1.81280000e-06  6.05897944e-01  2.89833698e-01 
 1.82280000e-06  6.10748562e-01  2.74764829e-01 
 1.83280000e-06  6.15500217e-01  2.59628166e-01 
 1.84280000e-06  6.20150488e-01  2.44427444e-01 
 1.85280000e-06  6.24696986e-01  2.29166413e-01 
 1.86280000e-06  6.29137352e-01  2.13848839e-01 
 1.87280000e-06  6.33469262e-01  1.98478501e-01 
 1.88280000e-06  6.37690427e-01  1.83059191e-01 
 1.89280000e-06  6.41798592e-01  1.67594714e-01 
 1.90280000e-06  6.45791538e-01  1.52088886e-01 
 1.91280000e-06  6.49667086e-01  1.36545532e-01 
 1.92280000e-06  6.53423093e-01  1.20968487e-01 
 1.93280000e-06  6.57057454e-01  1.05361595e-01 
 1.94280000e-06  6.60568107e-01  8.97287070e-02 
 1.95280000e-06  6.63953029e-01  7.40736796e-02 
 1.96280000e-06  6.67210239e-01  5.84003755e-02 
 1.97280000e-06  6.70337799e-01  4.27126621e-02 
 1.98280000e-06  6.73333812e-01  2.70144100e-02 
 1.99280000e-06  6.76196429e-01  1.13094924e-02 
 2.00280000e-06  6.78923841e-01 -4.39821553e-03 
 2.01280000e-06  6.81514288e-01 -2.01048383e-02 
 2.02280000e-06  6.83966055e-01 -3.58065005e-02 
 2.03280000e-06  6.86277473e-01 -5.14993281e-02 
 2.04280000e-06  6.88446922e-01 -6.71794489e-02 
 2.05280000e-06  6.90472829e-01 -8.28429942e-02 
 2.06280000e-06  6.92353669e-01 -9.84860992e-02 
 2.07280000e-06  6.94087967e-01 -1.14104904e-01 
 2.08280000e-06  6.95674299e-01 -1.29695556e-01 
 2.09280000e-06  6.97111289e-01 -1.45254207e-01 
 2.10280000e-06  6.98397612e-01 -1.60777018e-01 
 2.11280000e-06  6.99531997e-01 -1.76260160e-01 
 2.12280000e-06  7.00513222e-01 -1.91699813e-01 
 2.13280000e-06  7.01340117e-01 -2.07092167e-01 
 2.14280000e-06  7.02011565e-01 -2.22433424e-01 
 2.15280000e-06  7.02526504e-01 -2.37719798e-01 
 2.16280000e-06  7.02883923e-01 -2.52947519e-01 
 2.17280000e-06  7.03082864e-01 -2.68112829e-01 
 2.18280000e-06  7.03122426e-01 -2.83211986e-01 
 2.19280000e-06  7.03001758e-01 -2.98241265e-01 
 2.20280000e-06  7.02720068e-01 -3.13196957e-01 
 2.21280000e-06  7.02276616e-01 -3.28075373e-01 
 2.22280000e-06  7.01670716e-01 -3.42872840e-01 
 2.23280000e-06  7.00901741e-01 -3.57585709e-01 
 2.24280000e-06  6.99969115e-01 -3.72210349e-01 
 2.25280000e-06  6.98872320e-01 -3.86743152e-01 
 2.26280000e-06  6.97610894e-01 -4.01180532e-01 
 2.27280000e-06  6.96184429e-01 -4.15518926e-01 
 2.28280000e-06  6.94592574e-01 -4.29754798e-01 
 2.29280000e-06  6.92835032e-01 -4.43884634e-01 
 2.30280000e-06  6.90911566e-01 -4.57904947e-01 
 2.31280000e-06  6.88821991e-01 -4.71812280e-01 
 2.32280000e-06  6.86566179e-01 -4.85603200e-01 
 2.33280000e-06  6.84144060e-01 -4.99274305e-01 
 2.34280000e-06  6.81555617e-01 -5.12822221e-01 
 2.35280000e-06  6.78800890e-01 -5.26243606e-01 
 2.36280000e-06  6.75879976e-01 -5.39535149e-01 
 2.37280000e-06  6.72793026e-01 -5.52693569e-01 
 2.38280000e-06  6.69540248e-01 -5.65715620e-01 
 2.39280000e-06  6.66121903e-01 -5.78598089e-01 
 2.40280000e-06  6.62538310e-01 -5.91337798e-01 
 2.41280000e-06  6.58789842e-01 -6.03931603e-01 
 2.42280000e-06  6.54876928e-01 -6.16376398e-01 
 2.43280000e-06  6.50800049e-01 -6.28669110e-01 
 2.44280000e-06  6.46559743e-01 -6.40806708e-01 
 2.45280000e-06  6.42156601e-01 -6.52786196e-01 
 2.46280000e-06  6.37591269e-01 -6.64604619e-01 
 2.47280000e-06  6.32864446e-01 -6.76259061e-01 
 2.48280000e-06  6.27976884e-01 -6.87746646e-01 
 2.49280000e-06  6.22929388e-01 -6.99064540e-01 
 2.50280000e-06  6.17722818e-01 -7.10209950e-01 
 2.51280000e-06  6.12358082e-01 -7.21180126e-01 
 2.52280000e-06  6.06836145e-01 -7.31972362e-01 
 2.53280000e-06  6.01158020e-01 -7.42583995e-01 
 2.54280000e-06  5.95324773e-01 -7.53012407e-01 
 2.55280000e-06  5.89337520e-01 -7.63255023e-01 
 2.56280000e-06  5.83197427e-01 -7.73309318e-01 
 2.57280000e-06  5.76905711e-01 -7.83172811e-01 
 2.58280000e-06  5.70463639e-01 -7.92843067e-01 
 2.59280000e-06  5.63872524e-01 -8.02317701e-01 
 2.60280000e-06  5.57133731e-01 -8.11594376e-01 
 2.61280000e-06  5.50248671e-01 -8.20670801e-01 
 2.62280000e-06  5.43218803e-01 -8.29544738e-01 
 2.63280000e-06  5.36045632e-01 -8.38213998e-01 
 2.64280000e-06  5.28730712e-01 -8.46676441e-01 
 2.65280000e-06  5.21275640e-01 -8.54929979e-01 
 2.66280000e-06  5.13682059e-01 -8.62972576e-01 
 2.67280000e-06  5.05951658e-01 -8.70802247e-01 
 2.68280000e-06  4.98086169e-01 -8.78417061e-01 
 2.69280000e-06  4.90087367e-01 -8.85815138e-01 
 2.70280000e-06  4.81957071e-01 -8.92994654e-01 
 2.71280000e-06  4.73697142e-01 -8.99953837e-01 
 2.72280000e-06  4.65309481e-01 -9.06690970e-01 
 2.73280000e-06  4.56796033e-01 -9.13204390e-01 
 2.74280000e-06  4.48158781e-01 -9.19492491e-01 
 2.75280000e-06  4.39399747e-01 -9.25553721e-01 
 2.76280000e-06  4.30520994e-01 -9.31386584e-01 
 2.77280000e-06  4.21524622e-01 -9.36989642e-01 
 2.78280000e-06  4.12412769e-01 -9.42361511e-01 
 2.79280000e-06  4.03187609e-01 -9.47500867e-01 
 2.80280000e-06  3.93851354e-01 -9.52406441e-01 
 2.81280000e-06  3.84406248e-01 -9.57077023e-01 
 2.82280000e-06  3.74854574e-01 -9.61511461e-01 
 2.83280000e-06  3.65198645e-01 -9.65708660e-01 
 2.84280000e-06  3.55440809e-01 -9.69667585e-01 
 2.85280000e-06  3.45583446e-01 -9.73387258e-01 
 2.86280000e-06  3.35628968e-01 -9.76866764e-01 
 2.87280000e-06  3.25579816e-01 -9.80105242e-01 
 2.88280000e-06  3.15438465e-01 -9.83101893e-01 
 2.89280000e-06  3.05207415e-01 -9.85855979e-01 
 2.90280000e-06  2.94889197e-01 -9.88366820e-01 
 2.91280000e-06  2.84486368e-01 -9.90633796e-01 
 2.92280000e-06  2.74001513e-01 -9.92656348e-01 
 2.93280000e-06  2.63437243e-01 -9.94433977e-01 
 2.94280000e-06  2.52796195e-01 -9.95966244e-01 
 2.95280000e-06  2.42081028e-01 -9.97252771e-01 
 2.96280000e-06  2.31294426e-01 -9.98293242e-01 
 2.97280000e-06  2.20439096e-01 -9.99087398e-01 
 2.98280000e-06  2.09517767e-01 -9.99635044e-01 
 2.99280000e-06  1.98533189e-01 -9.99936046e-01 
 3.00280000e-06  1.87488131e-01 -9.99990328e-01 
 3.01280000e-06  1.76385383e-01 -9.99797877e-01 
 3.02280000e-06  1.65227753e-01 -9.99358742e-01 
 3.03280000e-06  1.54018066e-01 -9.98673029e-01 
 3.04280000e-06  1.42759165e-01 -9.97740909e-01 
 3.05280000e-06  1.31453909e-01 -9.96562611e-01 
 3.06280000e-06  1.20105170e-01 -9.95138427e-01 
 3.07280000e-06  1.08715837e-01 -9.93468707e-01 
 3.08280000e-06  9.72888118e-02 -9.91553863e-01 
 3.09280000e-06  8.58270070e-02 -9.89394368e-01 
 3.10280000e-06  7.43333487e-02 -9.86990755e-01 
 3.11280000e-06  6.28107731e-02 -9.84343617e-01 
 3.12280000e-06  5.12622267e-02 -9.81453606e-01 
 3.13280000e-06  3.96906648e-02 -9.78321437e-01 
 3.14280000e-06  2.80990511e-02 -9.74947882e-01 
 3.15280000e-06  1.64903566e-02 -9.71333772e-01 
 3.16280000e-06  4.86755882e-03 -9.67480001e-01 
 3.17280000e-06 -6.76635906e-03 -9.63387519e-01 
 3.18280000e-06 -1.84084091e-02 -9.59057335e-01 
 3.19280000e-06 -3.00555993e-02 -9.54490517e-01 
 3.20280000e-06 -4.17049349e-02 -9.49688194e-01 
 3.21280000e-06 -5.33534186e-02 -9.44651549e-01 
 3.22280000e-06 -6.49980519e-02 -9.39381826e-01 
 3.23280000e-06 -7.66358360e-02 -9.33880324e-01 
 3.24280000e-06 -8.82637720e-02 -9.28148402e-01 
 3.25280000e-06 -9.98788627e-02 -9.22187472e-01 
 3.26280000e-06 -1.11478113e-01 -9.15999007e-01 
 3.27280000e-06 -1.23058529e-01 -9.09584533e-01 
 3.28280000e-06 -1.34617124e-01 -9.02945632e-01 
 3.29280000e-06 -1.46150913e-01 -8.96083943e-01 
 3.30280000e-06 -1.57656917e-01 -8.89001158e-01 
 3.31280000e-06 -1.69132163e-01 -8.81699026e-01 
 3.32280000e-06 -1.80573687e-01 -8.74179348e-01 
 3.33280000e-06 -1.91978531e-01 -8.66443979e-01 
 3.34280000e-06 -2.03343745e-01 -8.58494828e-01 
 3.35280000e-06 -2.14666392e-01 -8.50333856e-01 
 3.36280000e-06 -2.25943541e-01 -8.41963077e-01 
 3.37280000e-06 -2.37172275e-01 -8.33384557e-01 
 3.38280000e-06 -2.48349688e-01 -8.24600411e-01 
 3.39280000e-06 -2.59472887e-01 -8.15612807e-01 
 3.40280000e-06 -2.70538993e-01 -8.06423963e-01 
 3.41280000e-06 -2.81545140e-01 -7.97036146e-01 
 3.42280000e-06 -2.92488478e-01 -7.87451673e-01 
 3.43280000e-06 -3.03366172e-01 -7.77672907e-01 
 3.44280000e-06 -3.14175405e-01 -7.67702262e-01 
 3.45280000e-06 -3.24913377e-01 -7.57542198e-01 
 3.46280000e-06 -3.35577306e-01 -7.47195222e-01 
 3.47280000e-06 -3.46164427e-01 -7.36663887e-01 
 3.48280000e-06 -3.56671998e-01 -7.25950791e-01 
 3.49280000e-06 -3.67097296e-01 -7.15058577e-01 
 3.50280000e-06 -3.77437617e-01 -7.03989934e-01 
 3.51280000e-06 -3.87690282e-01 -6.92747591e-01 
 3.52280000e-06 -3.97852632e-01 -6.81334324e-01 
 3.53280000e-06 -4.07922034e-01 -6.69752947e-01 
 3.54280000e-06 -4.17895875e-01 -6.58006319e-01 
 3.55280000e-06 -4.27771571e-01 -6.46097337e-01 
 3.56280000e-06 -4.37546559e-01 -6.34028941e-01 
 3.57280000e-06 -4.47218306e-01 -6.21804108e-01 
 3.58280000e-06 -4.56784303e-01 -6.09425853e-01 
 3.59280000e-06 -4.66242069e-01 -5.96897232e-01 
 3.60280000e-06 -4.75589150e-01 -5.84221336e-01 
 3.61280000e-06 -4.84823122e-01 -5.71401292e-01 
 3.62280000e-06 -4.93941590e-01 -5.58440263e-01 
 3.63280000e-06 -5.02942188e-01 -5.45341447e-01 
 3.64280000e-06 -5.11822581e-01 -5.32108076e-01 
 3.65280000e-06 -5.20580465e-01 -5.18743416e-01 
 3.66280000e-06 -5.29213567e-01 -5.05250763e-01 
 3.67280000e-06 -5.37719647e-01 -4.91633448e-01 
 3.68280000e-06 -5.46096498e-01 -4.77894829e-01 
 3.69280000e-06 -5.54341944e-01 -4.64038297e-01 
 3.70280000e-06 -5.62453847e-01 -4.50067270e-01 
 3.71280000e-06 -5.70430099e-01 -4.35985196e-01 
 3.72280000e-06 -5.78268630e-01 -4.21795549e-01 
 3.73280000e-06 -5.85967405e-01 -4.07501830e-01 
 3.74280000e-06 -5.93524424e-01 -3.93107567e-01 
 3.75280000e-06 -6.00937724e-01 -3.78616310e-01 
 3.76280000e-06 -6.08205380e-01 -3.64031635e-01 
 3.77280000e-06 -6.15325502e-01 -3.49357140e-01 
 3.78280000e-06 -6.22296241e-01 -3.34596447e-01 
 3.79280000e-06 -6.29115785e-01 -3.19753198e-01 
 3.80280000e-06 -6.35782359e-01 -3.04831054e-01 
 3.81280000e-06 -6.42294232e-01 -2.89833698e-01 
 3.82280000e-06 -6.48649707e-01 -2.74764829e-01 
 3.83280000e-06 -6.54847133e-01 -2.59628166e-01 
 3.84280000e-06 -6.60884894e-01 -2.44427444e-01 
 3.85280000e-06 -6.66761420e-01 -2.29166413e-01 
 3.86280000e-06 -6.72475179e-01 -2.13848839e-01 
 3.87280000e-06 -6.78024682e-01 -1.98478501e-01 
 3.88280000e-06 -6.83408481e-01 -1.83059191e-01 
 3.89280000e-06 -6.88625173e-01 -1.67594714e-01 
 3.90280000e-06 -6.93673394e-01 -1.52088886e-01 
 3.91280000e-06 -6.98551828e-01 -1.36545532e-01 
 3.92280000e-06 -7.03259198e-01 -1.20968487e-01 
 3.93280000e-06 -7.07794273e-01 -1.05361595e-01 
 3.94280000e-06 -7.12155865e-01 -8.97287070e-02 
 3.95280000e-06 -7.16342832e-01 -7.40736796e-02 
 3.96280000e-06 -7.20354075e-01 -5.84003755e-02 
 3.97280000e-06 -7.24188540e-01 -4.27126621e-02 
 3.98280000e-06 -7.27845219e-01 -2.70144100e-02 
 3.99280000e-06 -7.31323149e-01 -1.13094924e-02 
 4.00280000e-06 -7.34621413e-01  4.39821553e-03 
 4.01280000e-06 -7.37739138e-01  2.01048383e-02 
 4.02280000e-06 -7.40675499e-01  3.58065005e-02 
 4.03280000e-06 -7.43429717e-01  5.14993281e-02 
 4.04280000e-06 -7.46001057e-01  6.71794489e-02 
 4.05280000e-06 -7.48388835e-01  8.28429942e-02 
 4.06280000e-06 -7.50592410e-01  9.84860992e-02 
 4.07280000e-06 -7.52611189e-01  1.14104904e-01 
 4.08280000e-06 -7.54444625e-01  1.29695556e-01 
 4.09280000e-06 -7.56092221e-01  1.45254207e-01 
 4.10280000e-06 -7.57553523e-01  1.60777018e-01 
 4.11280000e-06 -7.58828129e-01  1.76260160e-01 
 4.12280000e-06 -7.59915680e-01  1.91699813e-01 
 4.13280000e-06 -7.60815867e-01  2.07092167e-01 
 4.14280000e-06 -7.61528428e-01  2.22433424e-01 
 4.15280000e-06 -7.62053149e-01  2.37719798e-01 
 4.16280000e-06 -7.62389862e-01  2.52947519e-01 
 4.17280000e-06 -7.62538448e-01  2.68112829e-01 
 4.18280000e-06 -7.62498836e-01  2.83211986e-01 
 4.19280000e-06 -7.62271001e-01  2.98241265e-01 
 4.20280000e-06 -7.61854967e-01  3.13196957e-01 
 4.21280000e-06 -7.61250805e-01  3.28075373e-01 
 4.22280000e-06 -7.60458635e-01  3.42872840e-01 
 4.23280000e-06 -7.59478621e-01  3.57585709e-01 
 4.24280000e-06 -7.58310979e-01  3.72210349e-01 
 4.25280000e-06 -7.56955968e-01  3.86743152e-01 
 4.26280000e-06 -7.55413898e-01  4.01180532e-01 
 4.27280000e-06 -7.53685124e-01  4.15518926e-01 
 4.28280000e-06 -7.51770049e-01  4.29754798e-01 
 4.29280000e-06 -7.49669123e-01  4.43884634e-01 
 4.30280000e-06 -7.47382842e-01  4.57904947e-01 
 4.31280000e-06 -7.44911749e-01  4.71812280e-01 
 4.32280000e-06 -7.42256434e-01  4.85603200e-01 
 4.33280000e-06 -7.39417535e-01  4.99274305e-01 
 4.34280000e-06 -7.36395732e-01  5.12822221e-01 
 4.35280000e-06 -7.33191755e-01  5.26243606e-01 
 4.36280000e-06 -7.29806379e-01  5.39535149e-01 
 4.37280000e-06 -7.26240422e-01  5.52693569e-01 
 4.38280000e-06 -7.22494752e-01  5.65715620e-01 
 4.39280000e-06 -7.18570278e-01  5.78598089e-01 
 4.40280000e-06 -7.14467956e-01  5.91337798e-01 
 4.41280000e-06 -7.10188786e-01  6.03931603e-01 
 4.42280000e-06 -7.05733813e-01  6.16376398e-01 
 4.43280000e-06 -7.01104127e-01  6.28669110e-01 
 4.44280000e-06 -6.96300859e-01  6.40806708e-01 
 4.45280000e-06 -6.91325187e-01  6.52786196e-01 
 4.46280000e-06 -6.86178329e-01  6.64604619e-01 
 4.47280000e-06 -6.80861549e-01  6.76259061e-01 
 4.48280000e-06 -6.75376151e-01  6.87746646e-01 
 4.49280000e-06 -6.69723484e-01  6.99064540e-01 
 4.50280000e-06 -6.63904936e-01  7.10209950e-01 
 4.51280000e-06 -6.57921939e-01  7.21180126e-01 
 4.52280000e-06 -6.51775965e-01  7.31972362e-01 
 4.53280000e-06 -6.45468527e-01  7.42583995e-01 
 4.54280000e-06 -6.39001178e-01  7.53012407e-01 
 4.55280000e-06 -6.32375512e-01  7.63255023e-01 
 4.56280000e-06 -6.25593162e-01  7.73309318e-01 
 4.57280000e-06 -6.18655802e-01  7.83172811e-01 
 4.58280000e-06 -6.11565141e-01  7.92843067e-01 
 4.59280000e-06 -6.04322929e-01  8.02317701e-01 
 4.60280000e-06 -5.96930955e-01  8.11594376e-01 
 4.61280000e-06 -5.89391042e-01  8.20670801e-01 
 4.62280000e-06 -5.81705054e-01  8.29544738e-01 
